title,description,imUrl,price,brand,categories__1,categories__2,categories__3,categories__4,categories__5,categories__6
JVC FS-SD5 Executive Microsystem (Discontinued by Manufacturer),"The JVC FS-SD5 is the entry-level system in JVC's line of Lifestyle executive microsystems line. Created with audiophiles in mind, these systems deliver dynamic sound and electrify any setting. The FS-SD5 features a horizontal motor-driven sliding CD door and a 19 watts per channel amplifier/tuner.The speakers, however, may well be the heart of this machine. Housed within the Medium Density Fiberboard (MDF) enclosures are 3.2-inch full-range hyper-neo-olefin cones and edgewise-wound four-layer voice coils. Olefin is one of the toughest fibers made, and a four-layer voice coil delivers considerable power to your speakers. Through their use of a bass-reflex design, the FS-SD5's speakers will produce much more bass than their diminutive size might suggest.Other features include electronic bass/treble controls, JVC's Active Hyper-Bass Super PRO, MD/Auxiliary input and output, Compu Play, and a line-level subwoofer output, making this an extremely versatile desktop stereo.The CD player is programmable (up to 20 tracks) and includes random/repeat play, while the digital tuner stores 30 FM and 15 AM stations and utilizes auto preset. Included in the package is a standing full-function remote control. A blue LCD screen illuminates all the FS-SD5's features.",http://ecx.images-amazon.com/images/I/31F1FS99VRL._SX300_.jpg,134.5,,Electronics,Home Audio,Compact Stereos,,,
Panasonic SC-PM01 Executive Microsystem,"Panasonic's SC-PM01 executive microsystem features a top-loading CD player for effortless disc loading, and its digital AM/FM tuner offers 24 presets for one-touch access to your favorite stations.Audiophiles are sure to appreciate several of the SC-PM01's features. The tweeters use acoustic lenses for wide frequency dispersion and good sound from anywhere in the room. The bass and midrange drivers employ linear suspension, which handles high input levels with low distortion. The digital servo system is a microprocessor designed to deliver smooth tracking and playback.You can adjust the volume and the tone controls (bass and treble) with the included multifunction remote control. Play and sleep timers can wake you or lull you to sleep. The LCD screen even has a dimmer function for late-night listening.Panasonic offers a one-year warranty on parts and labor.",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB192198896_.gif,134.5,,Electronics,Home Audio,Compact Stereos,,,
LNE100TX // LINKSYS ETHERNET 10/100 N/W ADAPTER,"LNE100TX USED // LINKSYS ETHERNET 10/100 N/W ADAPTER MODEL# LNE100TX&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Manufacturer LINKSYS Condition USED Weight(lbs) 1 &nbsp; &nbsp; Built to run with the fastest video, publishing, and database network applications, the EtherFast LAN Card is a high performance network adapter for 32-bit PCI local bus computers. Boasting an incredible maximum data throughput of 132 megabytes per second, it includes a combo, auto-detecting 10BaseT/100Base-TX port, which means that you can begin using the EtherFast now - even if you don't plan on upgrading to a 100Mbps network right away.&nbsp; Fully software configurable and Plug-and-Play compliant, the EtherFast installs in minutes. 32-bit multimaster concurrency technology lets it communicate directly with your PC's CPU, bypassing sluggish interrupts and I/O channels. The EtherFast is available in single, five, and economical 10 packs, making it the perfect choice for rapidly expanding networks. And each one comes with built-in support for the widest range of PCI motherboards, networking hardware, and software - which means you don't have to worry about compatibility. &nbsp; Max. Data Transfer Rate : 100 Mbps Cabling Type : Ethernet 100Base-TX  Ethernet 10Base-T Operating System&nbsp; : Microsoft Windows 3.x  Microsoft Windows NT  Novell NetWare  SunSoft Solaris  UNIX  Banyan VINES  Artisoft LANtastic",http://ecx.images-amazon.com/images/I/212A60W6HAL.jpg,134.5,,Electronics,eBook Readers & Accessories,Power Adapters,,,
Panasonic DVD-LV75 Portable DVD Player,"The Panasonic DVD-LV75 portable DVD player boasts a built-in 7-inch LCD screen with more than 337,000 pixels for incredibly clear images. Additional built-in features include stereo speakers, a battery recharger, and a headphone jack. This player offers S-video and composite outputs as well as an optical digital-audio output and a 24-bit, 96 kHz audio digital-to-analog converter.The screen allows you to watch movies in the standard 16:9 widescreen format or conventional formats such as letterbox and pan and scan. You can expect up to 3 hours of playback time with the battery pack. Additional features include virtual surround sound, a slim remote, frame advance, chapter preview, auto off, five-speed smooth scan, and title/chapter search with marker function.The player measures 7.25 by 1 by 5.5 inches and comes with a remote control, rechargeable battery pack, audio/video cables, and an AC adapter.",http://ecx.images-amazon.com/images/I/41N2XN9C9JL._SX300_.jpg,157.97,,Electronics,Television & Video,DVD Players & Recorders,DVD Players,,
JVC FS-SD7 Executive Microsystem (Discontinued by Manufacturer),,http://ecx.images-amazon.com/images/I/31W2M27DDQL._SX300_.jpg,134.5,,Electronics,Home Audio,Compact Stereos,,,
Panasonic PV-C1350W 13&quot; TV/VCR Combo,"With Panasonic's PV-C1350W 13-inch combination TV/VCR you can watch and record your favorite movies and videos. This model also has an FM radio with auto-scan as well as an alarm clock and a sleep timer that will automatically shut off the television. It can also turn the TV/VCR on as a wake-up call.The PV-C1350W has a number of useful playback features. Index search allows you to locate specific places of your movie or taped program, while program end search is helpful for those tapes that have several shows and movies on them. Commercial skip allows you to record programs without commercial interruption. A built-in V Chip helps parents monitor what their children are watching. Audio-video outputs and inputs are conveniently located on the front panel and can be used to hook up a camcorder or video game.In case the power should go out, the PV-C1350W has a 24-hour power backup and automatic clock set that will save you the hassle of figuring out how to set the time. For quieter moments, a headphone jack on the front panel allows you to watch TV while the rest of the family is asleep. A full-function remote control is included.",http://ecx.images-amazon.com/images/I/41K4HGEWJVL._SX300_.jpg,134.5,,Electronics,Portable Audio & Video,Portable & Novelty TVs,,,
Hewlett Packard C4493A CD-Writer Plus 9310i,"With up to 32x read speeds, 10x write, and 4x rewrite speeds, making CDs  with the HP C4493A CD-Writer is incredibly fast and easy. As with all HP CD- Writers, the CD can then be shared with over a billion CD and DVD players  worldwide using CD-R media. And it features all the quality and durability we've  come to expect from CDs.The Hewlett-Packard C4493A CD-Writer Plus 9310i not  only allows for quick and easy data storage but comes with an extensive CD-ROM  software package that lets you back up and restore your system and individual  files, compose original music, make CD labels and stationery, organize your  office, and more.",http://ecx.images-amazon.com/images/I/318SPBG9DVL._SX300_.jpg,134.5,,Electronics,Computers & Accessories,Computer Components,Internal Optical Drives,Internal CD Drives,
Philips SA101 Rush 32MB MP3 Player,"With the included 32 MB SmartMedia card and bundled RealNetworks' RealJukebox software, the Phillips SA101 Rush MP3 player seamlessly downloads, stores, and plays back MP3 files from the Internet. And because it has no mechanical parts, the Phillips SA101 Rush provides uninterrupted playback even if it's bumped or jarred. Its compact design features a bright LCD screen that displays artist information, track time, and bit rate. The digital equalizer supplies a range of custom sound for all of your MP3s.Downloading MP3 files from the Internet is quick and simple. The compressed digital MP3 files are first downloaded by your PC, then stored on a SmartMedia flash memory card using RealJukebox. Downloading a three-minute song to the player takes about 25 seconds, while a single 32 MB memory card stores just under an hour of music. It is also possible to endlessly erase and overwrite music, and the bookmark feature allows immediate access to the beginning of up to 10 songs. The Phillips SA101 Rush provides 12 hours of operation using two AAA batteries.The Phillips SA101 Rush is compliant with current Secure Digital Music Initiative (SDMI) proposals, which means that you can download any existing or future MP3 files. It is also Audible ready, so it can play spoken-word audio available from audible.com. A 32 MB SmartMedia card, set of stereo earphones, parallel port cable, and an AC/DC adapter are included with the Phillips SA101 Rush. Measuring 3 by 3 by 0.66 inches, this player easily slips into your pocket.",http://ecx.images-amazon.com/images/I/413Z3DK2T9L._SY300_.jpg,134.5,,Electronics,Portable Audio & Video,MP3 Players & Accessories,MP3 Players,,
Pioneer X-MR7 Executive Microsystem,"The Pioneer X-MR7 executive microsystem strikes a carefully tuned balance between ergonomics, modern technology, and stylish refinement. The X-MR7 boasts an ample 30 watts per channel and showcases a three-CD changer with an independent and programmable single-disc CD-R (one-time recordable) and CD-RW (re-recordable) recorder.With recordable CDs you can adorn your music library with artful compilations, make nearly identical copies of recordings to keep at the office, and archive music from LPs with the push of a single button. (That's right: the X-MR7 comes with a phono input.) An added bonus is the built-in sampling-rate converter, which lets you make CDs from nonstandard digital audio sources, such as digital audiotape and satellite TV.Push-button controls and large knobs for volume and tuner operation make using the unit a breeze. The full-function remote lets you create CDs and select sources and audio processing right from your chair.Pioneer provides a one-year limited warranty against defects in materials and workmanship.",http://ecx.images-amazon.com/images/I/215TNC7R6GL.jpg,134.5,,Electronics,Home Audio,Compact Stereos,,,
Samsung YP-E64 Yepp MP3 Player,"Samsung's YP-E64 Yepp MP3 player is a shockproof portable MP3 player  that can deliver uninterrupted digital-quality sound--even when the listener is  on the go--because it has no moving parts. With 64 MB of built-in flash memory  and the ability to expand the memory with SmartMedia cards, you can store enough  music for your listening pleasure. Its 3-D audio setting and seven-mode  equalizer further enhance your listening experience. You can download MP3 files  from the Internet or other online services, then create a personal playlist to  take with you.Samsung's Yepp's three-line LCD panel allows easy navigation through your  customized playlist by showing the song, the artist, and the track number. The  Yepp MP3 player can also be used as a telephone directory, storing up to 350  names and numbers. It also functions as a portable recorder, storing up to two  hours of voice recording.The Yepp comes with RealJukebox music management software. It runs on two AAA  batteries, which will power the Yepp for up to 10 hours.",http://ecx.images-amazon.com/images/I/4153SY8CYXL._SX300_.jpg,34.99,,Electronics,Portable Audio & Video,MP3 Players & Accessories,MP3 Players,,
Kodak KE60 Easy Load 35mm Camera,"Kodak gave its KE60 35mm camera a virtually fail-safe film-loading system. Instead of pulling out the film leader, all you have to do is slide the film tip in and place the cartridge in the camera. The Easy Load feature won't let you take pictures if you haven't loaded the film properly. The film door automatically locks after loading film and can't be reopened until the film is rewound. An indicator changes color to verify the door is locked.With the KE60's three-zone autofocus system, you can take sharply focused pictures in a variety of situations. Once you have your subject in focus, the focus lock keeps it there while allowing you to readjust your shot. You can get as close as 1.5 feet to your subject, and the autofocus keeps your picture sharp.The KE60 also lets you switch to portrait mode to further ensure a great close-up. If you're more than 3 feet from the subject, a red light alerts you to the possibility of poor focus. The camera's in-the-picture feature works well with the 10-second self-timer, or when you're photographing a large group. If the red indicator light on the front of the camera is visible, you know you're in the picture.",http://ecx.images-amazon.com/images/I/41Z8T6PZ09L._SX300_.jpg,19.76,,Electronics,Camera & Photo,Film Photography,Film Cameras,Point & Shoot Film Cameras,
Kodak C400 Advantix APS Camera,"The C400 Advantix camera from Kodak features point-and-shoot simplicity.  Its 25mm glass lens and autofocusing let you take photos from 2.5 feet and beyond, and the flip-up flash fires automatically in low-light situations. The flash also fires away from the lens to reduce red-eye. The flash unit protects the lens when the flash is closed.Every photo is labeled with the date and time, and the Kodak C400 records lighting and color data on the film's magnetic strip for the photo lab to use during developing. Because the Kodak C400 is an Advanced Photo System camera, you have the choice of three print formats--classic, group, or panoramic--and the viewfinder displays the selected picture size. The Kodak C400 automatically advances and rewinds film, and the safety interlock prevents the door from opening until the roll is completely rewound. A self-timer lets you take self-portraits or include yourself in group shots.A roll of Kodak Advantix color film, two AAA batteries, coupon book, instructional manual, and detachable camera strap are included. Kodak offers a one-year warranty on parts and labor.",http://ecx.images-amazon.com/images/I/41R0REE86ZL._SY300_.jpg,12.99,,Electronics,Camera & Photo,Film Photography,Film Cameras,APS Cameras,
SmartDisk USB Tri-Media Reader,"The Tri-Media Reader from VST allows you to effortlessly transfer digital images to your computer. Essentially, it is a hot-swappable digital camera storage and reading device with three media slots. The unit is compatible with USB-equipped Macs with OS 8.5.1 or higher and PCs with a USB port and Windows 98 or higher.The VST Tri-Media Reader supports 3.3 volt SmartMedia and Type I and II CompactFlash cards. The reader also includes a 3.5"" floppy drive, expanding your computer's capabilities without cluttering your desk. With a floppy data transfer rate of 20 kilobytes per second, images are loaded onto your desktop quickly. SmartMedia and CompactFlash boast transfer rates of 500 and 800 KBps, respectively. Tri-Media Reader works with 3.5-inch diskettes. A USB cable and needed Mac/PC software are included.VST offers a one-year warranty that covers parts and labor.",http://ecx.images-amazon.com/images/I/31H3WMV0J2L._SX300_.jpg,134.5,,Electronics,Computers & Accessories,Cables & Accessories,Memory Card Readers,,
Kodak KB18 35mm Camera,"The KB18 Advanced Photo System camera from Kodak features a 35mm lens that captures portrait and group shots. Point-and-shoot simplicity and the automatic flash give you better-exposed pictures indoors and out. The flash also reduces shadows when you are shooting in bright sunlight and reduces red-eye. The sliding lens cover protects the lens from dust and scratches and acts as an on/off switch for the camera.A bright viewfinder displays the selected picture size and simplifies camera operation. The Kodak KB18 will not operate if it is loaded incorrectly, but you can check if you'd loaded it properly by looking through the film door. You can remove and reload the same film cassette or switch film speed with Kodak's midroll change feature. This package includes a roll of Kodak Advantix color film, two Kodak Photolife AA batteries, and a detachable camera strap.Kodak offers a one-year warranty on parts and labor for this camera.",http://ecx.images-amazon.com/images/I/4185T2MRPZL._SX300_.jpg,134.5,,Electronics,Camera & Photo,Film Photography,Film Cameras,Point & Shoot Film Cameras,
Pentax IQ Zoom 115G QD Date 35mm Camera,"In addition to the Pentax IQZoom 115G's high-performance 3x zoom lens, this camera offers a wide range of advanced features and easy-to-use functions within its compact body. It offers multipattern metering, passive five-point autofocus, an auto zoom flash with red-eye reduction, an actual-image zoom viewfinder, a panorama mode, and an LCD information panel. It has a full, flat front panel that protects the lens barrel from damage and makes carrying and storing effortless. When the power is turned off, the lens retracts within the front panel.  It has a stylish black and silver body that fits comfortably in a shirt pocket or purse.The Pentax IQZoom 115G lens features an aspherical lens element for sharp images, minimizing aberrations and ghost images.  It offers a zoom macro capability, allowing the photographer to take clearly focused pictures from approximately 2.15 feet away from the subject.The flash provides a metering system that detects low light and backlit shooting conditions.  The built-in flash automatically provides fill-in illumination.  It also offers a red-eye reduction feature and allows the photographer to create images using advanced flash techniques such as daylight synch, slow-shutter synch, and bulb synch.  The user can also turn off the flash when taking pictures with ambient light.A special panorama mode with midroll switching is possible for large group shots or landscapes.  The actual-image viewfinder adjusts the size of its image area in proportion to the selected focal length.  The Pentax IQZoom 115G also features a built-in diopter adjustment to customize the viewfinder to match the user's eyesight.  A self-timer and date imprinting provide this camera with added flexibility.",http://ecx.images-amazon.com/images/I/41ZD3M5M2ML._SX300_.jpg,89.99,,Electronics,Camera & Photo,Film Photography,Film Cameras,Point & Shoot Film Cameras,
Kodak F350 Advantix APS Camera,,http://ecx.images-amazon.com/images/I/41M7A54EKKL._SX300_.jpg,39.99,,Electronics,Camera & Photo,Film Photography,Film Cameras,APS Cameras,
Pentax IQ Zoom 928M QD Date 35mm Camera,"The Pentax IQZoom 928M features wide-angle to telephoto coverage and 3.2x zoom in a compact body that fits into a shirt pocket or small purse. Its zoom macro capability captures well-defined close-up pictures at any focal length with a maximum magnification of 0.22x at the 90mm telephoto setting. The five-point passive autofocus system produces images that are sharp and clear.If the camera's metering system detects a low light or backlight situation, the built-in flash automatically provides fill-in illumination. It also offers a red-eye reduction feature. Other flash modes include flash on/off, slow shutter synch, bulb synch, and bulb.When the IQZoom 928M is left unused for three minutes, it automatically retracts the zoom lens to storage position and shuts off to save battery power. The date feature on this camera allows you to imprint the date or time onto pictures to keep track of memorable events.",http://ecx.images-amazon.com/images/I/51N3ZJTSD3L._SX300_.jpg,134.5,,Electronics,Camera & Photo,Film Photography,Film Cameras,Point & Shoot Film Cameras,
Kodak C800 Advantix Zoom APS Camera,"The C800 Advantix camera from Kodak is an Advanced Photo System camera with point-and-shoot simplicity.  It features a 27-80mm motorized zoom lens and infrared autofocusing, letting you snap photos from 2 feet and beyond.  A pop-up flash fires automatically in low-light situations and fires away from the lens, reducing red-eye.  Auto close prevents washout photos, and multibeam focusing keeps your subject in focus when taking wide-angle pictures. The flash folds down when the camera is off and serves as a protective lens cap.The Kodak C800 records lighting and color data on the film's magnetic strip for the photo lab to use when developing, and it imprints each shot with time and date. Because this camera is a member of the APS line, it offers three print formats--classic, group, and panoramic.  The viewfinder displays your selected picture format. The Kodak C800 automatically advances and rewinds film, and the safety interlock prevents the door from opening until the roll is completely rewound. The timer allows you to take self-portraits or to include yourself in group shots. Kodak's midroll change feature lets you change film speed or remove and reload a film cassette.A roll of Kodak Advantix color film, battery, coupon book, instructional manual, and detachable camera strap are included. Kodak offers a one-year warranty for parts and labor.",http://ecx.images-amazon.com/images/I/51R7YS01G5L._SY300_.jpg,15,,Electronics,Camera & Photo,Film Photography,Film Cameras,APS Cameras,
Hewlett Packard Jornada 520 and 540 Series Executive Leather Bi-Fold Case,"The Hewlett-Packard Jornada 540 series executive leather bifold case  protects your Jornada with style. This leather case has a slim design for the  on-the-go executive and an elegant, classical look that maximizes functionality.  This bifold case also includes a stylus holder.",http://ecx.images-amazon.com/images/I/41CM6VX4G2L._SX300_.jpg,134.5,,Electronics,Computers & Accessories,Laptop & Netbook Computer Accessories,Bags & Cases,Sleeves & Slipcases,
Hewlett Packard Jornada 520 and 540 Series Screen Protectors,,http://ecx.images-amazon.com/images/I/319MB9M78HL._SX300_.jpg,134.5,,Electronics,Computers & Accessories,"PDAs, Handhelds & Accessories",PDA & Handheld Accessories,Screen Protectors,
