title,description,imUrl,price,brand,categories__1,categories__2,categories__3,categories__4,categories__5,categories__6
Official Nook Audio Ie250 Earphones,Barnes and noble official nook earphones.,http://ecx.images-amazon.com/images/I/41-ZZ1e7OEL._SX300_.jpg,,,Electronics,Accessories & Supplies,Audio & Video Accessories,Headphones,,
Barnes &amp; Noble HDTV Adapter Kit for NOOK HD and NOOK HD+,"HDTV Adapter Kit for NOOK HD and NOOK HD+
This handy kit enables you to stream content from your NOOK HD or NOOK HD+ to a high-definition TV, via the included adapter and High Speed HDMI Cable. The kit also includes a pass-through that allows you to charge your NOOK while streaming, so there's no danger of running out of battery power before you're done. (A compatible NOOK Power Kit is required for this function and is not included with the adapter kit.)",http://ecx.images-amazon.com/images/I/51RjSETO23L._SX300_.jpg,49.95,,Electronics,Computers & Accessories,Touch Screen Tablet Accessories,Chargers & Adapters,,
Nook Vara Stylus 2-in-1,IT'S BEST PRODUCTS THAT A LOT PEOPLE LOVE IT.,http://ecx.images-amazon.com/images/I/31pTSps6B8L._SY300_.jpg,9.95,,Electronics,eBook Readers & Accessories,Bundles,,,
Barnes Noble Nook Simple Touch Reader BRNV300+Lewis Cover,,http://ecx.images-amazon.com/images/I/41hMkNYx6wL._SX300_.jpg,,,Electronics,eBook Readers & Accessories,eBook Readers,,,
Nook Color Clear Screen Protector Kit 2-Pack,"The Barnes &amp;amp; Noble H15201-LTR-1 Clear Screen Film Kit contains two pieces of clear protective film to either accommodate two devices, or use one as a replacement. Specifically built to protect the NOOK Color or the NOOK Tablet, this protective film perfectly matches to the NOOK device's interface.",http://ecx.images-amazon.com/images/I/31VNMZGxuwL._SY300_.jpg,1.93,,Electronics,eBook Readers & Accessories,Bundles,,,
Barnes &amp; Noble NOOK Color &amp; Tablet Anti-Glare Screen Protector Film Kit,Nook Color Tablet Anti--Glare Screen Film Kit - Compatable with Nook Tablet and Nook Color only,http://ecx.images-amazon.com/images/I/31VRrdE3B%2BL._SX300_.jpg,0.94,,Electronics,eBook Readers & Accessories,Screen Protectors,,,
Barnes &amp; Noble OV/HB-ADP Universal Power Kit,Power up your device with this Barnes &amp; Noble OV/HB-ADP Universal Power Kit._x000D_ _x000D_ This Universal Power Kit is specifically designed for your Nook HD and Nook HD+. The kit comes in handy in case you need to replace an old AV adapter or just happen to need a back up. Its retractable prongs make it more convenient for your digital lifestyle. Buy this Barnes &amp; Noble OV/HB-ADP Universal Power Kit now!,http://ecx.images-amazon.com/images/I/41K7ymN5fzL._SY300_.jpg,19.65,Barnes &amp; Noble,Electronics,eBook Readers & Accessories,Power Adapters,,,
Barnes &amp; Noble OV/HB Universal Power Kit for Nook HD &amp; HD+,,http://ecx.images-amazon.com/images/I/31BnIokx6AL._SY300_.jpg,22.5,Barnes &amp; Noble,Electronics,eBook Readers & Accessories,Power Adapters,,,
NOOK HD 7 inch Protective 360 Stand Cover Black,Description:Custom designed for NOOKRotates to horizontal viewing angleRotates to vertical viewing angleFits 7 inch NOOK HD,http://ecx.images-amazon.com/images/I/31Be21GGF2L._SX300_.jpg,127.99,,Electronics,eBook Readers & Accessories,Skins,,,
Barnes &amp; Noble NOOK Simple Touch Wall Adapter BNRP58501,"If you prefer to charge your NOOK Simple Touch directly from the wall rather than your computer, this compact kit is the ideal accessory. The compact adapter, accented by an embossed ""nook"" logo, mates securely with the wall outlet, and the five-foot USB cable that comes with Your NOOK Simple Touch allows you ample leeway in positioning your device.Features:",http://ecx.images-amazon.com/images/I/41WwbxmshWL._SY300_.jpg,6.99,Barnes &amp; Noble,Electronics,Computers & Accessories,Laptop & Netbook Computer Accessories,Docking Stations,,
Barnes &amp; Noble Nook Tablet Horizontal Stand Cover in Red,,http://ecx.images-amazon.com/images/I/31KOfQdwDfL.jpg,,,Electronics,eBook Readers & Accessories,Covers,,,
Barnes &amp; Noble Dessin Leather Cover for Nook Color &amp; Nook Tablet Digital Reader  - Noir,"The Dessin Cover in Noir for Nook Tablet helps you protect your e-reader with style. Able to fit both the standard Nook Color and the Nook Tablet, this Dessin Cover in Noir Cover For Nook Tablet has a glazed leather exterior and faux suede lining to provide soft and durable protection. A leather slide pocket inside the Nook Color Cover keeps your e-reader in place. These Nook Color Tablet Covers let you keep your Nook safe as you read it or as you carry it in your hand or in your backpack, tote bag or briefcase. A 3-point clip mechanism gives the Dessin Cover in Noir for Nook Tablet a secure hold on your e-reader, so it remains firmly attached. Even while your e-reader is inside the Nook Color Cover, you retain easy access to all of your device's ports and controls.",http://ecx.images-amazon.com/images/I/31VZYUGEFzL.jpg,9.99,Barnes &amp; Noble,Electronics,eBook Readers & Accessories,Covers,,,
Maptech ChartKit&reg; Book w/Companion CD - Florida East Coast &amp; The Keys,CHARTKIT&reg; Bookw/ Companion CDFlorida East Coast and the KeysSt. Mary's Entrance to Dry Tortugas inside and outside including St. Johns River St. Lucie River and Lake Okeechobee. Full-color charts waypoints courses and distances chart datums for GPS Yeoman points and aerial photos. 22 X 17" 78 chart pages.Product OverviewUsed by generations of boaters ChartKits are full-color reproductions of U.S. government and private charts spiral bound into popular cruising regions. The convenient-sized books are large enough to allow for manual plotting yet small enough to sit on your nav-station or lapGPS ReadyNew features make ChartKits easy to use with your GPS. Most charts include one-minute lat./long. Grids to make vessel positioning a breeze and major navigation aids are identified with named GPS waypoints.Small and Large Scale ChartsChartKits include small-scale wide area charts as well as large-scale detailed charts of harbors and approaches. The Chart Page Index (inside front cover) and "Go-To" page numbers make it simple to quickly find the chart you want.Pre-Plotted CoursesMaptech's navigation editors add magic courses between major navigation aids with distances in nautical miles. ChartKits are also designed to help you do the calculations yourself. Each page includes a Compass Rose with annual increase in variation and plete scale information.Aerial PhotosColor aerial photos of harbors and anchorages help you know what to expect before you get there.Companion CDIt's all here...digital charts and the software tools to use them. And the great thing is the digital charts are the same identical charts with GPS waypoints and course lines - just like in the Chartbooks.PlanChartbook Companion CDs include "Offshore Navigator Lite" navigation software. Click your mouse to put a waypoint on a chart. Click again and you're creating a route. It's that easy. Distances bearings and GPS positions are calculated and displayed instantly.PrintPrint your own customized GPS wa,http://ecx.images-amazon.com/images/I/31AgCC9ZFqL.jpg,111.6,MAPTECH PAPER CHARTS,Electronics,Car & Vehicle Electronics,Car Electronics,Car Audio,Car Stereo Receivers,
"65W/90W DC Car Charger for Dell Inspiron, Latitude, Studio, Vostro &amp; XPS Laptops (Lifetime Warranty, Bulk Packaging)","Compatible with:Dell Inspiron: 1525, 1526, 1545, 1705, 1720, 1721, 6000, 6400, 8500, 8600, 9200, 9300, 9400, E1405, E1505, E1705,Dell Studio: 14z ,15, 1535, 1536, 1537, 1555, 1735, 1737Dell Latitude: 100L, D400, D410, D420, D520, D531, D600, D610, D620, D630, D820, D830Dell Vostro: 1400, 1500, 1510, 1710Dell XPS: 13, 16, M1530P/N: PA-10, PA10, 90w, 90 watt",http://ecx.images-amazon.com/images/I/41FVVuXVieL._SX300_.jpg,21.4,,Electronics,Computers & Accessories,Laptop & Netbook Computer Accessories,Chargers & Adapters,,
The Blue Logger &amp; Street Atlas USA 2006 or The Blue Logger &amp; Street Atlas USA 2006 Handheld,"*Newly Released Street Atlas USA 2006 for Handheld and or PC is Now Available!!*

Choose from three different Packages! The Blue Logger & Street Atlas USA 2006, The Blue Logger & Street Atlas USA 2006 Handheld, or the Blue Logger with both versions of Street Atlas 2006! With the Blue Logger GPS and Street Atlas USA 2006 you can create a GPS track while traveling on a route you've created. Street Atlas USA 2006 mapping software includes detailed and routable street maps of the entire U.S. This package combines the depth of map information and ease of use you need for great vacation planning, work traveling, or simplified map-making. With the Blue Logger and Street Atlas USA 2006 Handheld you can now experience the added security of always having exactly the maps you need, conveniently accessible on your handheld computer. The included desktop/laptop software provides detailed maps of the entire U.S. conveniently on CD-ROM, which you use to create exactly the maps and routes you want to synchronize to your PDA.",http://ecx.images-amazon.com/images/I/21uBEBXoXlL.jpg,,,Electronics,GPS & Navigation,Sports & Handheld GPS,Handheld GPS Units,,
New 7&quot; Inch Tft-lcd Light Weight Slim Design Navnpod Travel and Car GPS Navigator System + Route66 USA and Canada Maps + Mp3 Player + Picture Viewer + Video Player + Free 2gb Sd Card + Samsung Cpu Made in USA Quality Navigation System Travel Assistant,"Navigate in the US and Canada from door to door with this Original NAVNPOD GPS Navigation system. NAVNPOD was designed, quality controlled and made in USA and is a smart and affordable option for those wishing for a smooth and safe journey anywhere in USA and CANADA. It was built with the world best Samsung 400 MHz CPU that wont freeze while calculating your road and showing you the way like many other GPS devices. It is using a high sensitive SiRF star III GPS Chipset that can connect to 20 satellites With clear voice instruction and full USA and CANADA Map coverage using the latest map technology from the world famous ROUTE66. You won't miss anymore turns or waste unnecessary Gas to get to your destination and is fun for your children in the car since they can watch their favorite carton or movies while on the road or you can play your videos or MP3/4s either using the built in speaker or transmit the music to your car speaker system using the smart FM transmitter function. You can also hear the navigation voice through your car speaker system. No more speed tickets thanks to a clever warning system when exceeding a preset speed limit. Always driving on the correct lane thanks to lane advice when approaching crossings. Everything you need is included in the beautiful GIFT BOX. There are no monthly fees or any other fees. Just turn it on and you are ready to go.",http://ecx.images-amazon.com/images/I/51GIcEC9xDL._SX300_.jpg,,,Electronics,GPS & Navigation,Vehicle GPS,,,
Axis Av81144 14-Gauge 4-Conductor Speaker Wire,"Axis Av81144 14-Gauge, 4-Conductor Speaker Wire",http://ecx.images-amazon.com/images/I/31Go11HdnjL._SY300_.jpg,,,Electronics,Accessories & Supplies,Audio & Video Accessories,Cables & Interconnects,Audio Cables,Speaker Cables
Audiovox Surface SURF402 Wet/Dry Screen Wipes,"SURF402 screen and lens wipes kit has 6 alcohol free wet wipes and 6 lint free polishing cloths, all individually wrapped. Perfect for use on the go for cell phones, PDAs, MP3 players, digital cameras, camcorders, portable games and other portable media devices. Use the wet cloth for gentle cleaning and use the dry cloth to remove excess solution for the perfect clean screen.",http://ecx.images-amazon.com/images/I/41I-EplYw9L._SY300_.jpg,6.99,,Electronics,Accessories & Supplies,Audio & Video Accessories,Cleaning & Repair,Lens Cleaners,
VideoSecu 24&quot; Long Arm TV Wall Mount Low Profile Full Motion Cantilever Swing &amp; Tilt wall bracket for most 22&quot; to 55&quot; LED LCD TV Monitor Flat Panel Screen VESA 200x200 400x400 up to 600x400mm - Articulating Arm Extend up to 24&quot; MAH,"The VideoSecu TV mount is a mounting solution for most 22""-47"" LCD LED Plasma TV and some LED up to 55"". It fits VESA 600x400mm (24""x16""), 400x400mm (16""x16""), 400x200mm (16""x8""),300x300mm (12""x12""),200x200mm (8""x8""),200x100mm (8""x4"") mounting hole pattern on the back of your TV. Heavy gauge steel construction provides safety loading up to 66lbs display. The two-link arm design provides up to 180 degrees of swivel, 15 degrees tilt up or down, and 24"" extension, make it easier for get perfect viewing angle. The removable VESA plate can be taken off for easy installation. Post-installation level adjustment allows the TV to perfectly level. The on arm cable management ring system design, guides wires and prevent cable pinching. Standard hardware and user manual included. Note: From Nov 27, 600x400 adapters are provided with this product.",http://ecx.images-amazon.com/images/I/41hYJ9MwPSL._SX300_.jpg,29.99,VideoSecu,Electronics,Accessories & Supplies,Audio & Video Accessories,TV Accessories & Parts,TV Ceiling & Wall Mounts,
New 2012 Callaway uPro MX+ Golf GPS Ultimate Package,"The Callaway upro mx+ defines the next generation of golf GPS devices by giving you the most impressive user experience in the game. The device breaks new ground with its multi-gesture touchscreen, and with a simple finger swipe you can easily navigate the advanced features like never before. There are no annual fees, and with more than 25,000 courses preloaded on the sleek and compact device, you can enjoy the incredible innovations right out of the box. For enhanced functionality, you can opt to download hi-res aerial imagery in ProModeTM to view actual layouts of the holes and watch Tour-style video flyovers to preview each hole. State-of-the-art performance is now right at your fingertips.",http://ecx.images-amazon.com/images/I/51yXIwlRpiL._SY300_.jpg,,,Electronics,GPS & Navigation,Sports & Handheld GPS,Golf Course GPS Units,,
Playboy Cover to Cover Hard Drive - Every Issue From 1953 to 2010,,http://ecx.images-amazon.com/images/I/417lsZfeCAL._SX300_.jpg,31.63,,Electronics,eBook Readers & Accessories,Covers,,,
THE GREATEST GIFT by Philip Van Doren Stern Blue limited edition reproduction by Graphic Image -,select gift: Buy 2 &nbsp;Get a 3rd Free - Limited time &nbsp;Plus&nbsp;FREE FedEx The story that inspired the movie &quot;It&#39;s a Wonderful Life&quot; has been restored to its original form. As Seen on NBC&#39;s Today Show with&nbsp;Kathie Lee.611959533534 - GRT-GIFT-PPR-BLU,http://ecx.images-amazon.com/images/I/51vF-rQ8-0L._SY300_.jpg,24,,Electronics,Camera & Photo,Bags & Cases,Camera Cases,,
Replacement lamp ELPLP36 for projector Epson EMP S4 Epson EMP S42 Epson PowerLite S4,New lamp for the following EPSON models: EMP-S4 EMP-S42 Lamp SpecificationsSpecDataProductCodeV13H010L36Part TypeLamp & HousingWarranty180 Days See Below For More Options!!Hours2000Watts170Lamp TypeUHE Bulb pictured may not represent description please ensure you are ordering the correct model. Do not hesitate to contact our sales staff if you have any questions toll free @ 800.941.5690,http://ecx.images-amazon.com/images/I/41uuWrC-SpL._SX300_.jpg,39.72,Epson,Electronics,Computers & Accessories,Cables & Accessories,Video Projector Accessories,Lamps,
Bottom Dock Charger Connector Port Unit Part Repair for iPod Touch 4th Gen,"100% brand new!

Bottom Dock Charger Connector Port Unit

Best item for your iPod Replacement

Replace your iPod broken/damaged/cracked Pin! 

Compatible for: Apple iPod Touch 4th Gen

Please note: NOT for iPod Touch 1st / 2nd / 3rd Gen",http://ecx.images-amazon.com/images/I/51JFOwZ5esL._SY300_.jpg,0.01,,Electronics,Portable Audio & Video,MP3 Players & Accessories,MP3 Player Accessories,Cases,
PU Leather 360 Degree Rotating Stand Case Cover Protector For Mini iPad,"100% brand new and high quality
New generic Deep Green 360 Degree Rotating PU Leather Case For iPad Mini
360 degree rotation for landscape and portrait viewing
High Quality, Stylish and Durable
All the protection in a slim light weight design.
Made by high quality synthetic PU Leather which is comfortable to use and durable
Special design for stand function
Easy to install and remove without leaving any residual
Cutouts for Camera, Display Screen, Ports, Headphone Jack, Volume Control, easy to access your iPad
Protects your iPad against dirt, dust, scratches and bumps
Accessory only,iPad Mini not included
Material: Plastic and PU Leather
Color: Deep Green",http://ecx.images-amazon.com/images/I/51Wr0T6juoL._SY300_.jpg,2.42,,Electronics,Computers & Accessories,Touch Screen Tablet Accessories,Cases & Sleeves,Cases,
"GENUINE / ORIGINAL DELL (9-Cell) Extended Laptop Battery for Dell Latitude D620 D630 Series, PN 312-0383, 312-0384, 312-0386, JD634 - NOT AFTERMARKET 3RD PARTY GENERIC (ORIGINAL, GENUINE DELL PARTS!)","Dell D620 battery, Dell D630 9 cell battery",http://ecx.images-amazon.com/images/I/41vwzmFXFsL._SY300_.jpg,119,Dell,Electronics,Computers & Accessories,Laptop & Netbook Computer Accessories,Batteries,,
Hello Kitty Home Button Sticker plus Free Screen Protector,"Color:  As the pictures show. (may be a little different)
     
Package Includes: 
       - 1 set (6 pcs button stickers). (ship without retail packaging)
       - Accessory ONLY, iPhone 4G is NOT included.",http://ecx.images-amazon.com/images/I/41nqaKcaorL._SX300_.jpg,1.8,,Electronics,Cell Phones & Accessories,Cases,Basic Cases,Screen Protectors,
HYNIX Laptop Memory: HMT325S6BFR8C-H9 N0 AA 2GB DDR3 PC3-10600S,Hynix 2GB DDR3 Memory SO-DIMM 204pin PC3-10600S 1333MHz HMT325S6BFR8C-H9,http://ecx.images-amazon.com/images/I/51r0PghzUTL._SX300_.jpg,21.99,,Electronics,Computers & Accessories,Computer Components,Memory,,
Cute Car Shape 2.4GHz USB Receiver Mice Wireless 10M Sensor Range Optical Mouse,"Introduction:
 Wonderful optical mouse. Lovely outlook with compact shape design. Best choice for you. Such optical mouse is designed with reliable optical technology, convenient to use. 

Features:
 1.Designed with reliable optical technology
 2.Convenient to use, easy navigation
 3.The mouse gives smooth and precise motion on any surface
 4.It has high resolution which gives you precise movement

Specifications:
 1. 100% new and high quality
 2. Ergonomics design, good for health
 3. USB receiver, plug and use, no driver
 4. 2.4GHz wireless transmission
 5. Resolution: 400DPI/800DPI/1600DPI
 6. Sensor range: 10 meter
 7. Buttons can be used over eight million times
 8. Work for Windows98/2000/2003/Me/xp/vista.windows7
9. Power Supply: 2 x AAA Battery (not included)",http://ecx.images-amazon.com/images/I/41cbIWiKijL._SY300_.jpg,4.95,,Electronics,Computers & Accessories,Cables & Accessories,Mice,,
Replacement Keyboard for Toshiba Satellite C650 C655 C660 C665 L750 L770,"Description:

This is a replacement keyboard for the Toshiba Satellite C650 Disassemble and replace your keyboard if you experience issues such as stick keys, and faulty or unresponsive strokes, so you can enjoy the best your laptop has to offer. It's a perfect replacement that provides the same quality and performance as the original.

Specifications:
Compatible with:  Toshiba Satellite +Pro C650 C655 C660 C665 L650 L655 L670 L750 L770
Color: Black 
Layout:US
Caution: Please seek a professional if you are unfamiliar with the installation process to avoid unintended damage to your laptop.
Accessory ONLY, does not come with installation instructions
Weight: 8.80 oz",http://ecx.images-amazon.com/images/I/41rkaCQ-tQL._SY300_.jpg,13.61,,Electronics,Computers & Accessories,Cables & Accessories,Keyboards,,
Barnes &amp; Noble Nook eReader - no 3G,"Barnes & Noble Nook eReader - no 3GMeet nook. Access to over one million eBooks, newspapers, and magazines downloaded wirelessly. Get bestsellers and new releases, your favorite eNewspapers, and eMagazines all delivered fast and free via Wi-Fi. Browse the vast Barnes and Noble eBookstore and sample any eBook for free.Choose an eBook using the beautiful color touch screen, then watch it appear instantly onthe E Ink display, where text appears as crisp asa printed page. The 16-level gray scale display offers great contrast with no glare or backlight. Choose from five font sizes so you can read with ease.Features:* No reading glasses required! Choose from 5 different font sizes so you can read with ease. The best-in-class E Ink display witha 16-bit gray scale offers great contrast with noglare or backlight making for hours of reading enjoyment.* Endless shelf space. Store as many as1,500 eBooks, eNewspapers, and eMagazines on yournook's 2 GB of internal storage, so you'll never be without your favorites. Need more space? Just add a Micro SD card.* Download eBooks in seconds. Sample eBooks for free just about anywhere you are, on us. Browse eBooks, magazines and newspaperson Wi-Fi. And every Barnes & Noble has free Wi-Fi, so you can connect at lightning-fast speeds.*Get endless shelf space. With 2GB of memory, nookstores up to 1,500 books, newspapers and magazines. Need even more space? Just add a memory card. An entire library light enough to take with you everywhere, so you'll never be without your favorites.* Free Reading: Try before you buy. Download afree sample of any eBook we sell to discover new authors and check out today's most talked about books for free. Find something you like? It's easy to buy and download the titles you want in seconds.* Reading Now: Use Reading Now, your virtual bookmark, to bring you back to the last book you've read, right where you left off. Coming soon, if you forget your NOOK at home",http://ecx.images-amazon.com/images/I/519ca3cu5eL._SY300_.jpg,74.95,Barnes &amp; Noble,Electronics,eBook Readers & Accessories,eBook Readers,,,
Barnes &amp; Noble Nook Simple Touch eBook Reader (Wi-Fi Only),"Barnes & Noble Nook Simple Touch Wi-Fi ReaderIncredibly easy-just touch and read; Ultra-light, thin and the longest battery life; Most advanced E Ink 6"" display w/ crisp fonts; Expert recommendations and fun social features.Features:* Easy to Use 6"" Touchscreen: Shop for the best books, magazines and newspapers right on your NOOK with just a touch. Turn pages, look up words, highlight passages, adjust the font size and style-just by tapping the infrared-powered touchscreen.* Clear, Crisp Reading: NOOK features the most advanced E Ink Pearl technology. The high-contrast 16-level grayscale touchscreen displays text as crisp and clear as a printed page, so you can read easily-even in bright sun. 50% more contrast than NOOK 1st Edition.* Ultra-Light, Ultra-Portable: At 7.48 ounces, NOOK islighter than a paperback and super thin, yet holds up to 1,000 books, magazines and newspapers-so it's easy to take your entire library with you anywhere.* Longest Battery Life: With the longest battery life of any eReader, you can read for up totwo months on just one charge. That's enough timeto start and finish a lot of great stories-or an entire series.* World's Largest Bookstore: Over2 million titles including books, magazines & newspapers -just a touch away! Thousands are FREE, most others $9.99 or less. Pre-order books and subscribe to magazines so you'll get them the instant they're released.* Read Your Way: Make the text bigger or smaller. (See demo) Choose the font style you like. You can even add bookmarks and highlight passages while you read.* Immersive Reading Experience: With 80% less flashing than other eReaders, NOOK delivers an immersive reading experience-so it's easy to lose yourself in your latest read. And with Fast Page, just touch and hold the side button to quickly scan through any book, magazine or newspaper to get to where you want to read lightning fast.* NOOK Friends: Connect with NOOK Friends to share and fi",http://ecx.images-amazon.com/images/I/51jat7CVtoL._SY300_.jpg,79.49,Barnes &amp; Noble,Electronics,eBook Readers & Accessories,eBook Readers,,,
NOOK GLOWLIGHT eBook Reader 4GB (BNRV500),"Our Best Reading Experience Yet
Enjoy crisper text with 60% more pixels on our most advanced eReader. With a no-glare screen and higher resolution, reading indoors and out is easier than ever.
NOOK GlowLight is ultra-slim and 18% lighter than NOOK Simple Touch With a new top layer material and lamination process, NOOK GlowLight's display stands up to keys, pens, and anything else you might carry with you.You can read for up to 8 weeks on a single charge, making it easy to take your NOOK everywhere. It's perfect for travelling - and you don't even have to pack your charger.",http://ecx.images-amazon.com/images/I/41ZpXub7tcL._SX300_.jpg,119.95,Barnes &amp; Noble,Electronics,eBook Readers & Accessories,eBook Readers,,,
Nook Simple Touch eReader,"The NOOK Simple Touch eReader allows you to read numerous eBooks as it features its 6-inch touchscreen display. This amazing device lets you feel the convenience of reading your favorite story; you can find more material by searching other media on the web, thanks to its Wi-Fi capability. Moreover, this eReader comes with 2GB internal memory, storing up to 1,000 books with ease. It is also very reliable and hard-wearing as it can last for a very long time so you can enjoy more reading with this impressive device.",http://ecx.images-amazon.com/images/I/413fSdlMm6L._SY300_.jpg,62.99,Barnes &amp; Noble,Electronics,eBook Readers & Accessories,eBook Readers,,,
Nook HD 7&quot; 8GB Tablet,"The Nook HD Tablet has an amazing combination of style and functionality. With this tablet you can take your entertainment wherever you go. It's size and design make it easy to hold with one hand and fits perfectly in any purse or bag. It allows you to read books and novels, watch movies and stream live events, play music and much more! It's equipped with a 7"" touchscreen that offers smooth navigation and stunning visuals. This tablet has 8GB of space so you can save all your important documents and media files. The MicrOSD card slot lets you expand the storage capacity up to 32GB. Plus, its built-in Wi-Fi ensures you get seamless Internet connection. Get your NOOK HD Tablet today!",http://ecx.images-amazon.com/images/I/51lnBzuRS1L._SX300_.jpg,158.99,Barnes &amp; Noble,Electronics,Computers & Accessories,Tablets,,,
